determined_at,type,special_key,meta_key,target.target_id,masked_key,gid,target.target_type,shift_key,control_key
23756,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,427.0,55234539,text,,
23806,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,83.0,55234539,text,,
23895,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,427.0,55234539,text,,
24211,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1153.0,55234539,text,,
24281,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1153.0,55234539,text,,
24412,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,529.0,55234539,text,,
24495,KEY_DOWN,Shift,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,True,
24507,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,529.0,55234539,text,True,
24683,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1062.0,55234539,text,True,
24817,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1062.0,55234539,text,True,
24860,KEY_UP,Shift,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,,
24900,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1073.0,55234539,text,,
25054,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1073.0,55234539,text,,
25096,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,114.0,55234539,text,,
25231,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,114.0,55234539,text,,
25284,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1129.0,55234539,text,,
25378,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1129.0,55234539,text,,
25593,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,210.0,55234539,text,,
